Serving HTTP on 0.0.0.0 port 3000 (http://0.0.0.0:3000/) ...
127.0.0.1 - - [06/Aug/2026 22:19:00] "HEAD / HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 22:23:09] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 22:34:44] "HEAD / HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2026 22:34:54] "GET / HTTP/1.1" 200 -
192.168.85.132 - - [07/Aug/2026 19:52:44] "GET /01-the-case-for-change-v9-guided-viz.html HTTP/1.1" 200 -
192.168.85.132 - - [07/Aug/2026 19:52:44] "GET /css/variables-8adf115d.css HTTP/1.1" 200 -
192.168.85.132 - - [07/Aug/2026 19:52:44] "GET /fonts/fonts-9644e21d.css HTTP/1.1" 200 -
192.168.85.132 - - [07/Aug/2026 19:52:44] "GET /highlight-493f70e1.css HTTP/1.1" 200 -
192.168.85.132 - - [07/Aug/2026 19:52:44] "GET /css/general-e96d0476.css HTTP/1.1" 200 -
192.168.85.132 - - [07/Aug/2026 19:52:44] "GET /css/chrome-d279d366.css HTTP/1.1" 200 -
192.168.85.132 - - [07/Aug/2026 19:52:44] "GET /tomorrow-night-4c0ae647.css HTTP/1.1" 200 -
192.168.85.132 - - [07/Aug/2026 19:52:44] "GET /ayu-highlight-3fdfc3ac.css HTTP/1.1" 200 -
192.168.85.132 - - [07/Aug/2026 19:52:44] "GET /toc-608de618.js HTTP/1.1" 200 -
192.168.85.132 - - [07/Aug/2026 19:52:44] "GET /mark-09e88c2c.min.js HTTP/1.1" 200 -
192.168.85.132 - - [07/Aug/2026 19:52:44] "GET /elasticlunr-ef4e11c1.min.js HTTP/1.1" 200 -
192.168.85.132 - - [07/Aug/2026 19:52:44] "GET /searcher-09f2665d.js HTTP/1.1" 200 -
192.168.85.132 - - [07/Aug/2026 19:52:44] "GET /clipboard-1626706a.min.js HTTP/1.1" 200 -
192.168.85.132 - - [07/Aug/2026 19:52:44] "GET /highlight-abc7f01d.js HTTP/1.1" 200 -
192.168.85.132 - - [07/Aug/2026 19:52:44] "GET /book-609e4cb8.js HTTP/1.1" 200 -
192.168.85.132 - - [07/Aug/2026 19:52:44] "GET /fonts/open-sans-v17-all-charsets-700-c22fe8c7.woff2 HTTP/1.1" 200 -
192.168.85.132 - - [07/Aug/2026 19:52:44] "GET /fonts/open-sans-v17-all-charsets-regular-2e3b1d34.woff2 HTTP/1.1" 200 -
192.168.85.132 - - [07/Aug/2026 19:52:44] "GET /css/print-9e4910d8.css HTTP/1.1" 200 -
192.168.85.132 - - [07/Aug/2026 19:52:44] "GET /fonts/open-sans-v17-all-charsets-300-7736aa35.woff2 HTTP/1.1" 200 -
192.168.85.132 - - [07/Aug/2026 19:52:44] "GET /fonts/open-sans-v17-all-charsets-italic-6c9463f7.woff2 HTTP/1.1" 200 -
192.168.85.132 - - [07/Aug/2026 19:52:44] "GET /fonts/source-code-pro-v11-all-charsets-500-2bdd9410.woff2 HTTP/1.1" 200 -
192.168.85.132 - - [07/Aug/2026 19:52:44] "GET /favicon-8114d1fc.png HTTP/1.1" 200 -
192.168.85.132 - - [07/Aug/2026 19:52:44] "GET /favicon-de23e50b.svg HTTP/1.1" 200 -
